dim0,dim1,tissue
11.860292,-130.65826,Haematopoietic and Lymphoid
11.8557005,-130.6495,Haematopoietic and Lymphoid
11.858703,-130.6566,Haematopoietic and Lymphoid
-39.797916,-77.45463,Haematopoietic and Lymphoid
-39.79904,-77.4459,Haematopoietic and Lymphoid
-39.793785,-77.44738,Haematopoietic and Lymphoid
15.092375,84.04042,Stomach
15.092358,84.04025,Stomach
15.0944395,84.04172,Stomach
-30.152573,-127.702705,Haematopoietic and Lymphoid
-30.145449,-127.699135,Haematopoietic and Lymphoid
-30.146961,-127.69662,Haematopoietic and Lymphoid
52.455868,-18.14823,Bone
52.459854,-18.144299,Bone
52.453205,-18.145224,Bone
3.7399678,70.540115,Breast
3.7415216,70.53261,Breast
3.748359,70.523254,Breast
-96.61898,60.456863,Lung
-96.61474,60.458576,Lung
-96.615166,60.458286,Lung
-39.08465,-80.422806,Haematopoietic and Lymphoid
-39.084965,-80.42827,Haematopoietic and Lymphoid
-39.085377,-80.43195,Haematopoietic and Lymphoid
-26.057814,-130.41553,Haematopoietic and Lymphoid
-26.057814,-130.412,Haematopoietic and Lymphoid
-26.058601,-130.41533,Haematopoietic and Lymphoid
-25.561653,-134.50294,Haematopoietic and Lymphoid
-25.562332,-134.50157,Haematopoietic and Lymphoid
-25.563745,-134.50433,Haematopoietic and Lymphoid
28.679226,-71.44556,Control_HEK293T
33.05456,-68.038864,Control_HEK293T
131.74757,32.81173,Control_HEK293T
136.74367,14.462062,Control_HEK293T
132.05276,15.85481,Control_HEK293T
-86.49511,86.72389,Adrenal Gland
-86.49092,86.71549,Adrenal Gland
-86.49783,86.70908,Adrenal Gland
-90.056,16.392504,Central Nervous System
-90.05655,16.393534,Central Nervous System
-90.05242,16.392025,Central Nervous System
148.25616,50.575676,Endometrium
148.25616,50.568817,Endometrium
148.25824,50.57532,Endometrium
19.616346,-22.445906,Skin
19.61891,-22.439468,Skin
19.615437,-22.445187,Skin
-95.306244,65.07592,Ovary
-95.31288,65.07586,Ovary
-95.32265,65.09284,Ovary
-74.049126,73.59401,Head and Neck
-74.0412,73.59429,Head and Neck
-74.04888,73.575356,Head and Neck
44.31142,-86.43117,Control_HEK293T
127.68529,33.38348,Control_HEK293T
-86.19999,87.24955,Adrenal Gland
-86.51918,86.71089,Adrenal Gland
-86.559296,86.346085,Adrenal Gland
-90.26463,16.106337,Central Nervous System
-90.18511,16.707613,Central Nervous System
-89.741875,16.330332,Central Nervous System
148.1936,50.69072,Endometrium
148.07733,50.276546,Endometrium
148.63046,50.503616,Endometrium
20.059208,-22.351873,Skin
