dim0,dim1,tissue
11.436507,-132.40689,T-Lymphoblastic Leukemia
11.431923,-132.3979,T-Lymphoblastic Leukemia
11.434878,-132.4051,T-Lymphoblastic Leukemia
-39.42435,-77.63505,Acute Myeloid Leukemia
-39.424667,-77.62649,Acute Myeloid Leukemia
-39.419403,-77.62754,Acute Myeloid Leukemia
15.526787,84.841385,Gastric Carcinoma
15.526877,84.84126,Gastric Carcinoma
15.529011,84.842514,Gastric Carcinoma
-30.901104,-128.26697,Plasma Cell Myeloma
-30.894196,-128.26501,Plasma Cell Myeloma
-30.895699,-128.26303,Plasma Cell Myeloma
52.799015,-19.330183,Ewing's Sarcoma
52.80309,-19.32612,Ewing's Sarcoma
52.796406,-19.327024,Ewing's Sarcoma
3.5679646,71.188576,Breast Carcinoma
3.5695486,71.1807,Breast Carcinoma
3.5762937,71.170586,Breast Carcinoma
-96.87925,59.64996,Carcinoid Tumour
-96.87734,59.65157,Carcinoid Tumour
-96.87426,59.653088,Carcinoid Tumour
-38.840096,-80.65709,Acute Myeloid Leukemia
-38.838978,-80.66299,Acute Myeloid Leukemia
-38.841007,-80.66656,Acute Myeloid Leukemia
-26.854532,-131.09552,B-Cell Non-Hodgkin's Lymphoma
-26.85439,-131.092,B-Cell Non-Hodgkin's Lymphoma
-26.85523,-131.09532,B-Cell Non-Hodgkin's Lymphoma
-26.141249,-135.23419,Acute Myeloid Leukemia
-26.141924,-135.23283,Acute Myeloid Leukemia
-26.143032,-135.23573,Acute Myeloid Leukemia
29.140926,-72.246605,Control_HEK293T
32.86003,-69.86777,Control_HEK293T
126.04148,31.063835,Control_HEK293T
137.39215,14.994614,Control_HEK293T
132.417,14.473072,Control_HEK293T
-86.93369,86.13608,Other Solid Carcinomas
-86.92754,86.12705,Other Solid Carcinomas
-86.9356,86.12067,Other Solid Carcinomas
-90.07319,16.159828,Glioblastoma
-90.07377,16.16089,Glioblastoma
-90.069534,16.159214,Glioblastoma
137.61037,53.272373,Endometrial Carcinoma
137.61102,53.26557,Endometrial Carcinoma
137.61253,53.272194,Endometrial Carcinoma
19.97329,-22.755404,Melanoma
19.975927,-22.748856,Melanoma
19.972395,-22.754526,Melanoma
-95.636505,64.27907,Ovarian Carcinoma
-95.64334,64.27917,Ovarian Carcinoma
-95.65349,64.297455,Ovarian Carcinoma
-74.63587,73.159615,Head and Neck Carcinoma
-74.627975,73.158615,Head and Neck Carcinoma
-74.634346,73.14167,Head and Neck Carcinoma
44.72226,-87.91995,Control_HEK293T
122.284,30.140478,Control_HEK293T
-86.65292,86.67555,Other Solid Carcinomas
-86.95906,86.12215,Other Solid Carcinomas
-86.9662,85.74641,Other Solid Carcinomas
-90.29697,15.877058,Glioblastoma
-90.19434,16.484177,Glioblastoma
-89.75639,16.084587,Glioblastoma
137.53351,53.370583,Endometrial Carcinoma
137.4774,52.948914,Endometrial Carcinoma
138.00356,53.275345,Endometrial Carcinoma
20.42194,-22.662308,Melanoma
19.894445,-22.989754,Melanoma
19.80985,-22.582603,Melanoma
-95.42392,64.81278,Ovarian Carcinoma
-96.06177,64.08473,Ovarian Carcinoma
-95.638176,64.27199,Ovarian Carcinoma
-74.862175,73.385445,Head and Neck Carcinoma
-74.673874,72.96939,Head and Neck Carcinoma
-74.17018,73.34263,Head and Neck Carcinoma
50.830906,-70.3735,Control_HEK293T
11.864147,-132.35146,T-Lymphoblastic Leukemia
11.292894,-132.22328,T-Lymphoblastic Leukemia
11.291152,-132.73256,T-Lymphoblastic Leukemia
-39.225246,-77.94999,Acute Myeloid Leukemia
-39.964066,-77.807304,Acute Myeloid Leukemia
-39.3882,-77.44201,Acute Myeloid Leukemia
15.412295,84.530266,Gastric Carcinoma
15.333081,85.077515,Gastric Carcinoma
15.991664,84.884964,Gastric Carcinoma
-31.11935,-128.38936,Plasma Cell Myeloma
-30.913532,-128.03401,Plasma Cell Myeloma
-30.461597,-128.51944,Plasma Cell Myeloma
52.795383,-19.573164,Ewing's Sarcoma
53.19976,-19.102905,Ewing's Sarcoma
52.515526,-19.151566,Ewing's Sarcoma
3.6103811,71.531395,Breast Carcinoma
3.2961452,71.04901,Breast Carcinoma
3.90291,70.99292,Breast Carcinoma
-97.036194,59.45834,Carcinoid Tumour
-97.02631,59.921616,Carcinoid Tumour
-96.47568,59.588554,Carcinoid Tumour
-39.231636,-80.68364,Acute Myeloid Leukemia
-38.622852,-80.47795,Acute Myeloid Leukemia
-38.815807,-81.02989,Acute Myeloid Leukemia
-27.234089,-131.07387,B-Cell Non-Hodgkin's Lymphoma
-26.719963,-130.81554,B-Cell Non-Hodgkin's Lymphoma
-26.664555,-131.27872,B-Cell Non-Hodgkin's Lymphoma
-26.36361,-135.09157,Acute Myeloid Leukemia
-25.876387,-135.08098,Acute Myeloid Leukemia
-26.174263,-135.63098,Acute Myeloid Leukemia
45.458824,-88.288086,Control_HEK293T
63.734848,-80.59203,Control_HEK293T
155.96681,33.433735,Control_HEK293T
150.73817,44.290337,Control_HEK293T
118.40358,22.336246,Control_HEK293T
117.83716,29.31627,Control_HEK293T
-17.716688,99.93643,Pancreatic Carcinoma
-18.198296,99.84448,Pancreatic Carcinoma
-17.708065,99.5465,Pancreatic Carcinoma
-68.12503,70.798615,Pancreatic Carcinoma
-68.19245,70.58743,Pancreatic Carcinoma
-67.72708,71.0056,Pancreatic Carcinoma
75.04887,-68.574104,Small Cell Lung Carcinoma
74.817444,-68.46166,Small Cell Lung Carcinoma
74.97635,-68.82485,Small Cell Lung Carcinoma
79.173485,-55.15702,Small Cell Lung Carcinoma
79.43086,-54.94024,Small Cell Lung Carcinoma
79.63962,-55.37158,Small Cell Lung Carcinoma
-70.15153,74.16991,Pancreatic Carcinoma
-69.680756,74.37828,Pancreatic Carcinoma
-70.134964,73.81729,Pancreatic Carcinoma
80.48106,-3.343555,Prostate Carcinoma
80.24768,-3.3781118,Prostate Carcinoma
80.618355,-2.9024515,Prostate Carcinoma
41.43299,6.5366006,Mesothelioma
41.492107,6.348859,Mesothelioma
41.84971,6.8692446,Mesothelioma
3.0041938,60.33846,Breast Carcinoma
3.3848772,60.431477,Breast Carcinoma
3.034225,60.33029,Breast Carcinoma
14.876289,-116.007614,B-Lymphoblastic Leukemia
14.998716,-116.0936,B-Lymphoblastic Leukemia
14.872622,-116.43547,B-Lymphoblastic Leukemia
-47.171417,84.96425,Pancreatic Carcinoma
-47.831432,85.04983,Pancreatic Carcinoma
-47.4889,84.75633,Pancreatic Carcinoma
55.271175,-87.404976,Control_HEK293T
63.605385,-81.02468,Control_HEK293T
131.04997,19.35473,Control_HEK293T
125.698006,26.431797,Control_HEK293T
-17.887548,99.692665,Pancreatic Carcinoma
-17.892757,99.685326,Pancreatic Carcinoma
-17.876637,99.67244,Pancreatic Carcinoma
-68.125465,70.81915,Pancreatic Carcinoma
-68.151566,70.81896,Pancreatic Carcinoma
-68.27308,70.95244,Pancreatic Carcinoma
75.06133,-68.533646,Small Cell Lung Carcinoma
75.02304,-68.52302,Small Cell Lung Carcinoma
75.08955,-68.521515,Small Cell Lung Carcinoma
79.380585,-55.090767,Small Cell Lung Carcinoma
79.39994,-55.031784,Small Cell Lung Carcinoma
79.32274,-55.04799,Small Cell Lung Carcinoma
-70.123474,74.164314,Pancreatic Carcinoma
-70.184395,74.21347,Pancreatic Carcinoma
-70.13044,74.17766,Pancreatic Carcinoma
80.48502,-3.3383665,Prostate Carcinoma
80.48418,-3.3526447,Prostate Carcinoma
80.59279,-3.4804466,Prostate Carcinoma
41.477978,6.535846,Mesothelioma
41.455917,6.537375,Mesothelioma
41.40271,6.5648193,Mesothelioma
3.0484047,60.304447,Breast Carcinoma
3.0872362,60.216156,Breast Carcinoma
3.0762103,60.232185,Breast Carcinoma
14.966782,-116.105804,B-Lymphoblastic Leukemia
15.263475,-116.03847,B-Lymphoblastic Leukemia
14.955087,-116.11686,B-Lymphoblastic Leukemia
